date,adj_close
2020-12-08T00:00:00+0000,124.38
2020-12-09T00:00:00+0000,121.78
2020-12-10T00:00:00+0000,123.24
2020-12-11T00:00:00+0000,122.41
2020-12-14T00:00:00+0000,121.78
2020-12-15T00:00:00+0000,127.88
2020-12-16T00:00:00+0000,127.81
2020-12-17T00:00:00+0000,128.7
2020-12-18T00:00:00+0000,126.655
2020-12-21T00:00:00+0000,128.23
2020-12-22T00:00:00+0000,131.88
2020-12-23T00:00:00+0000,130.96
2020-12-24T00:00:00+0000,131.97
2020-12-28T00:00:00+0000,136.69
2020-12-29T00:00:00+0000,134.87
2020-12-30T00:00:00+0000,133.72
2020-12-31T00:00:00+0000,132.69
2021-01-04T00:00:00+0000,129.41
2021-01-05T00:00:00+0000,131.01
2021-01-06T00:00:00+0000,126.6
2021-01-07T00:00:00+0000,130.92
2021-01-08T00:00:00+0000,132.05
2021-01-11T00:00:00+0000,128.98
2021-01-12T00:00:00+0000,128.8
2021-01-13T00:00:00+0000,130.89
2021-01-14T00:00:00+0000,128.91
2021-01-15T00:00:00+0000,127.14
2021-01-19T00:00:00+0000,127.83
2021-01-20T00:00:00+0000,132.03
2021-01-21T00:00:00+0000,136.87
2021-01-22T00:00:00+0000,139.07
2021-01-25T00:00:00+0000,142.92
2021-01-26T00:00:00+0000,143.16
2021-01-27T00:00:00+0000,142.06
2021-01-28T00:00:00+0000,137.09
2021-01-29T00:00:00+0000,131.96
2021-02-01T00:00:00+0000,134.14
2021-02-02T00:00:00+0000,134.99
2021-02-03T00:00:00+0000,133.7395276165
2021-02-04T00:00:00+0000,137.1843638886
2021-02-05T00:00:00+0000,136.76
2021-02-08T00:00:00+0000,136.91
2021-02-09T00:00:00+0000,136.01
2021-02-10T00:00:00+0000,135.39
2021-02-11T00:00:00+0000,135.13
2021-02-12T00:00:00+0000,135.37
2021-02-16T00:00:00+0000,133.19
2021-02-17T00:00:00+0000,130.84
2021-02-18T00:00:00+0000,129.71
2021-02-19T00:00:00+0000,129.87
2021-02-22T00:00:00+0000,126.0
2021-02-23T00:00:00+0000,125.86
2021-02-24T00:00:00+0000,125.35
2021-02-25T00:00:00+0000,120.99
2021-02-26T00:00:00+0000,121.26
2021-03-01T00:00:00+0000,127.79
2021-03-02T00:00:00+0000,125.12
2021-03-03T00:00:00+0000,122.06
2021-03-04T00:00:00+0000,120.13
2021-03-05T00:00:00+0000,121.42
2021-03-08T00:00:00+0000,116.36
2021-03-09T00:00:00+0000,121.09
2021-03-10T00:00:00+0000,119.98
2021-03-11T00:00:00+0000,121.96
2021-03-12T00:00:00+0000,121.03
2021-03-15T00:00:00+0000,123.99
2021-03-16T00:00:00+0000,125.57
2021-03-17T00:00:00+0000,124.76
2021-03-18T00:00:00+0000,120.53
2021-03-19T00:00:00+0000,119.99
2021-03-22T00:00:00+0000,123.39
2021-03-23T00:00:00+0000,122.54
2021-03-24T00:00:00+0000,120.09
2021-03-25T00:00:00+0000,120.59
2021-03-26T00:00:00+0000,121.21
2021-03-29T00:00:00+0000,121.39
2021-03-30T00:00:00+0000,119.9
2021-03-31T00:00:00+0000,122.15
2021-04-01T00:00:00+0000,123.0
2021-04-05T00:00:00+0000,125.9
2021-04-06T00:00:00+0000,126.21
2021-04-07T00:00:00+0000,127.9
2021-04-08T00:00:00+0000,130.36
2021-04-09T00:00:00+0000,132.995
2021-04-12T00:00:00+0000,131.24
2021-04-13T00:00:00+0000,134.43
2021-04-14T00:00:00+0000,132.03
2021-04-15T00:00:00+0000,134.5
2021-04-16T00:00:00+0000,134.16
2021-04-19T00:00:00+0000,134.84
2021-04-20T00:00:00+0000,133.11
2021-04-21T00:00:00+0000,133.5
2021-04-22T00:00:00+0000,131.94
2021-04-23T00:00:00+0000,134.32
2021-04-26T00:00:00+0000,134.72
2021-04-27T00:00:00+0000,134.39
2021-04-28T00:00:00+0000,133.58
2021-04-29T00:00:00+0000,133.48
2021-04-30T00:00:00+0000,131.46
2021-05-03T00:00:00+0000,132.54
